ClientID,NomClient,Sexe,Age,TrancheAge,Ville,Region,DateInscription,AncienneteJours,AncienneteAnnees,ClientType,TransactionID,DateVente,Annee,Mois,MoisNum,Trimestre,YearMonth,JourSemaine,EstWeekend,EstJourFerie,CategorieProduit,SousCategorie,Produit,Montant,Quantite,Remise,MontantRemise,MontantFinal,CoutAcquisition,Marge,ModePaiement,CanalVente,Recency,Frequency,Monetary,ScoreR,ScoreF,ScoreM,ScoreRFM,SegmentRFM,SegmentDetail,ActionRecommandee,Satisfaction,NPS,Commentaire,Campagne,CodePromo,PointsFidelite
CLT02719,"Sonia Gharbi",F,24,18-25,"Le Kef",Nord,2020-03-04,1129,3.1,Occasionnel,TRX00000011,2023-04-07,2023,Avril,4,Q2,2023-04,Vendredi,Non,Non,Alimentation,Épicerie,"Épicerie 43",4168.78,3,0%,0,4168.78,625.317,1042.195,Flouci,"Application mobile",1000,3,16242,1,1,3,113,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive",Neutre,5,"Excellent service",Fête_des_mères,,417
CLT02603,"Imen Gueddana",F,69,65+,Sfax,Centre,2020-11-22,645,1.8,Occasionnel,TRX00000012,2022-08-29,2022,Août,8,Q3,2022-08,Lundi,Non,Non,Maison,Cuisine,"Cuisine 82",1481.6,2,0%,0,1481.6,222.24,370.4,Virement,"Site web",1221,3,5556,1,1,2,112,Fuyants,"Clients peu engagés","Analyse besoins ou abandon","Très insatisfait",1,"Prix élevé",Nouvel_An,,148
CLT02750,"Hanen Jebali",F,53,45-55,Béja,Nord,2022-07-31,407,1.1,Occasionnel,TRX00000013,2023-09-11,2023,Septembre,9,Q3,2023-09,Lundi,Non,Non,Sport,Football,"Football 37",5704.02,1,0%,0,5704.02,855.603,1426.005,Flouci,"Magasin physique",843,2,9054,1,1,2,112,Fuyants,"Clients peu engagés","Analyse besoins ou abandon","Très satisfait",1,,Ramadan,,570
CLT01003,"Nader Rezgui",M,63,55-65,Béja,Nord,2021-09-23,429,1.2,Occasionnel,TRX00000014,2022-11-26,2022,Novembre,11,Q4,2022-11,Samedi,Oui,Non,Sport,Fitness,"Fitness 77",2899.26,2,9%,260.933,2638.327,395.749,659.582,Flouci,"Réseaux sociaux",1132,2,4956,1,1,1,111,Fuyants,"Clients peu engagés","Analyse besoins ou abandon",Satisfait,2,"Livraison rapide",Ramadan,PROMO82,264
CLT04130,"Jamel Chaabane",M,45,45-55,Gafsa,Sud,2021-06-15,1128,3.1,VIP,TRX00000015,2024-07-17,2024,Juillet,7,Q3,2024-07,Mercredi,Non,Non,Sport,Fitness,"Fitness 35",25456.95,3,22%,5600.529,19856.421,2978.463,4964.105,Virement,"Site web",533,27,630585,1,5,5,155,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale",Satisfait,2,,Nouvel_An,,1986
CLT00214,"Yosra Sassi",F,57,55-65,Nabeul,Nord,2023-01-05,555,1.5,Occasionnel,TRX00000016,2024-07-13,2024,Juillet,7,Q3,2024-07,Samedi,Oui,Non,Sport,Fitness,"Fitness 91",4570.72,1,0%,0,4570.72,685.608,1142.68,Virement,"Magasin physique",537,2,8162,1,1,2,112,Fuyants,"Clients peu engagés","Analyse besoins ou abandon",Neutre,6,"Livraison rapide",,,457
CLT03293,"Tarek Zouari",M,69,65+,Médenine,Sud,2022-03-18,53,0.1,VIP,TRX00000017,2022-05-10,2022,Mai,5,Q2,2022-05,Mardi,Non,Non,Jouets,Puzzle,"Puzzle 32",41841.9,2,0%,0,41841.9,6276.285,10460.475,Virement,"Site web",1332,45,2092095,1,5,5,155,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale",Neutre,8,"Produit conforme",Back_to_school,,4184
CLT03966,"Tarek Mansouri",M,21,18-25,"Ben Arous","Grand Tunis",2023-09-13,371,1,Fidèle,TRX00000018,2024-09-18,2024,Septembre,9,Q3,2024-09,Mercredi,Non,Non,Alimentation,Boissons,"Boissons 23",15538.78,5,0%,0,15538.78,2330.817,3884.695,"Paiement à la livraison","Site web",470,12,255432,1,3,5,135,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale",Insatisfait,2,"Attente longue",,,1554
CLT01522,"Marwen Jebali",M,34,25-35,Siliana,Nord,2020-03-16,1069,2.9,Occasionnel,TRX00000019,2023-02-18,2023,Février,2,Q1,2023-02,Samedi,Oui,Non,Alimentation,Poisson,"Poisson 99",2110,4,0%,0,2110,316.5,527.5,Flouci,"Site web",1048,2,3376,1,1,1,111,Fuyants,"Clients peu engagés","Analyse besoins ou abandon",Satisfait,3,,Black_Friday,,211
CLT00219,"Mohamed Rezgui",M,45,45-55,Mahdia,Centre,2022-04-28,467,1.3,VIP,TRX00000020,2023-08-08,2023,Août,8,Q3,2023-08,Mardi,Non,Non,Sport,Vélos,"Vélos 3",42974.92,5,20%,8594.984,34379.936,5156.99,8594.984,Flouci,"Site web",877,33,1508694,1,5,5,155,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale",Satisfait,2,,Ramadan,PROMO57,3438
CLT00282,"Khadija Oueslati",F,68,65+,Jendouba,Nord,2023-12-03,653,1.8,Occasionnel,TRX00000021,2025-09-16,2025,Septembre,9,Q3,2025-09,Mardi,Non,Non,Sport,Fitness,"Fitness 20",1818,5,0%,0,1818,272.7,454.5,D17,"Site web",107,4,6060,4,1,2,412,Nouveaux,"Clients récents avec faible fréquence","Programme onboarding - Offre bienvenue","Très insatisfait",3,"Produit conforme",,,182
CLT02424,"Yasmine Masmoudi",F,42,35-45,Jendouba,Nord,2020-02-04,1303,3.6,VIP,TRX00000022,2023-08-30,2023,Août,8,Q3,2023-08,Mercredi,Non,Non,Électronique,Casque,"Casque 29",22730.98,4,0%,0,22730.98,3409.647,5682.745,Virement,"Réseaux sociaux",855,31,726454,1,5,5,155,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale",Satisfait,0,"Excellent service",Nouvel_An,,2273
CLT04035,"Bilel Amari",M,27,25-35,"Le Kef",Nord,2022-02-07,687,1.9,Fidèle,TRX00000023,2023-12-26,2023,Décembre,12,Q4,2023-12,Mardi,Non,Non,Sport,Vélos,"Vélos 89",18415.88,5,8%,1473.27,16942.61,2541.392,4235.653,Espèces,"Application mobile",737,8,165536,1,2,5,125,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive",Neutre,2,,Back_to_school,,1694
CLT01926,"Youssef Saidi",M,51,45-55,Kebili,Sud,2021-01-07,1332,3.6,Régulier,TRX00000024,2024-08-31,2024,Août,8,Q3,2024-08,Samedi,Oui,Non,Électronique,Casque,"Casque 42",11110.8,1,10%,1111.08,9999.72,1499.958,2499.93,Flouci,"Site web",488,6,55554,1,2,5,125,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive",Neutre,6,,Ramadan,,1000
CLT04648,"Khaled Jebali",M,57,55-65,Sousse,Centre,2020-09-05,695,1.9,Régulier,TRX00000025,2022-08-01,2022,Août,8,Q3,2022-08,Lundi,Non,Non,Électronique,Tablette,"Tablette 100",7932.03,2,0%,0,7932.03,1189.805,1983.008,D17,"Site web",1249,8,61608,1,2,5,125,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive","Très insatisfait",1,,Ramadan,,793
CLT04959,"Rawdha Rezgui",F,24,18-25,Kasserine,Centre,2022-09-16,1152,3.2,Régulier,TRX00000026,2025-11-11,2025,Novembre,11,Q4,2025-11,Mardi,Non,Non,Beauté,Parfum,"Parfum 99",7563.2,3,0%,0,7563.2,1134.48,1890.8,"Carte Bancaire","Magasin physique",51,4,26080,5,1,3,513,Nouveaux,"Clients récents avec faible fréquence","Programme onboarding - Offre bienvenue","Très insatisfait",4,,Nouvel_An,,756
CLT04934,"Mariem Zouari",F,66,65+,Jendouba,Nord,2021-03-24,1053,2.9,Occasionnel,TRX00000027,2024-02-10,2024,Février,2,Q1,2024-02,Samedi,Oui,Non,Vêtements,Femme,"Femme 28",1793.53,1,0%,0,1793.53,269.03,448.383,"Paiement à la livraison","Site web",691,3,5547,1,1,2,112,Fuyants,"Clients peu engagés","Analyse besoins ou abandon",Satisfait,2,"Excellent service",Soldes_été,PROMO99,179
CLT03271,"Mohamed Jebali",M,30,25-35,Mahdia,Centre,2020-04-10,1585,4.3,Fidèle,TRX00000028,2024-08-12,2024,Août,8,Q3,2024-08,Lundi,Non,Non,Maison,Jardin,"Jardin 57",10996.56,3,0%,0,10996.56,1649.484,2749.14,Virement,"Réseaux sociaux",507,16,217216,1,4,5,145,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale","Très insatisfait",9,"Prix élevé",,,1100
CLT03743,"Mohamed Guesmi",M,37,35-45,Tataouine,Sud,2023-09-27,253,0.7,Fidèle,TRX00000029,2024-06-06,2024,Juin,6,Q2,2024-06,Jeudi,Non,Non,Alimentation,Fruits,"Fruits 52",6656.52,5,0%,0,6656.52,998.478,1664.13,"Carte Bancaire","Site web",574,11,93874,1,3,5,135,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale",Satisfait,0,"Excellent service",Back_to_school,,666
CLT00299,"Bilel Lahmar",M,75,65+,Ariana,"Grand Tunis",2022-09-28,465,1.3,Fidèle,TRX00000030,2024-01-06,2024,Janvier,1,Q1,2024-01,Samedi,Oui,Non,Vêtements,Accessoires,"Accessoires 37",10591.96,5,0%,0,10591.96,1588.794,2647.99,Virement,"Réseaux sociaux",726,15,136965,1,4,5,145,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale","Très insatisfait",0,"Prix élevé",Black_Friday,PROMO96,1059
CLT01687,"Slim Baccar",M,75,65+,"Ben Arous","Grand Tunis",2022-03-13,608,1.7,Fidèle,TRX00000031,2023-11-11,2023,Novembre,11,Q4,2023-11,Samedi,Oui,Non,Jouets,"Plein air","Plein air 36",19882.24,1,0%,0,19882.24,2982.336,4970.56,D17,"Réseaux sociaux",782,13,201929,1,3,5,135,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale","Très satisfait",10,"Excellent service",Soldes_été,,1988
CLT01584,"Yasmine Zghal",F,23,18-25,Siliana,Nord,2020-07-10,1172,3.2,Fidèle,TRX00000032,2023-09-25,2023,Septembre,9,Q3,2023-09,Lundi,Non,Non,Sport,Vélos,"Vélos 58",27706.6,4,0%,0,27706.6,4155.99,6926.65,"Paiement à la livraison","Magasin physique",829,13,310505,1,3,5,135,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale","Très insatisfait",8,"Produit conforme",Fête_des_mères,,2771
CLT01023,"Fathi Guesmi",M,30,25-35,Kebili,Sud,2021-02-14,1580,4.3,Occasionnel,TRX00000033,2025-06-13,2025,Juin,6,Q2,2025-06,Vendredi,Non,Non,Vêtements,Accessoires,"Accessoires 39",4380.98,4,0%,0,4380.98,657.147,1095.245,Flouci,"Site web",202,1,4133,3,1,1,311,ÀSurveiller,"Comportement mixte","Observation et segmentation affinée",Insatisfait,3,,Fête_des_mères,,438
CLT03351,"Ali Gueddana",M,58,55-65,Tunis,"Grand Tunis",2022-09-24,571,1.6,Occasionnel,TRX00000034,2024-04-17,2024,Avril,4,Q2,2024-04,Mercredi,Non,Non,Beauté,Parfum,"Parfum 17",3748.1,3,18%,674.658,3073.442,461.016,768.361,"Carte Bancaire","Site web",624,1,5065,1,1,2,112,Fuyants,"Clients peu engagés","Analyse besoins ou abandon","Très satisfait",9,"Produit conforme",Black_Friday,,307
CLT03479,"Eya Yahyaoui",F,59,55-65,Gabès,Sud,2021-05-15,702,1.9,Régulier,TRX00000035,2023-04-17,2023,Avril,4,Q2,2023-04,Lundi,Non,Non,Beauté,Parfum,"Parfum 47",4358.97,3,0%,0,4358.97,653.846,1089.743,Virement,"Application mobile",990,5,28305,1,2,3,123,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive","Très satisfait",8,"Excellent service",Ramadan,,436
CLT00224,"Sonia El Amri",F,39,35-45,Ariana,"Grand Tunis",2022-04-07,335,0.9,Fidèle,TRX00000036,2023-03-08,2023,Mars,3,Q1,2023-03,Mercredi,Non,Non,Jouets,Électronique,"Électronique 75",21052.36,1,0%,0,21052.36,3157.854,5263.09,"Carte Bancaire","Réseaux sociaux",1030,11,236302,1,3,5,135,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale","Très insatisfait",0,"Livraison rapide",,,2105
CLT01905,"Leila Bouaziz",F,32,25-35,"Ben Arous","Grand Tunis",2023-08-06,685,1.9,Occasionnel,TRX00000037,2025-06-21,2025,Juin,6,Q2,2025-06,Samedi,Oui,Non,Jouets,"Plein air","Plein air 39",2533.44,1,0%,0,2533.44,380.016,633.36,Flouci,"Application mobile",194,1,2912,3,1,1,311,ÀSurveiller,"Comportement mixte","Observation et segmentation affinée",Satisfait,2,,Soldes_été,,253
CLT04744,"Hedi Ben Salem",M,32,25-35,Jendouba,Nord,2023-09-04,669,1.8,Fidèle,TRX00000038,2025-07-04,2025,Juillet,7,Q3,2025-07,Vendredi,Non,Non,Sport,Natation,"Natation 91",13711.5,3,0%,0,13711.5,2056.725,3427.875,Virement,"Magasin physique",181,10,182820,3,3,5,335,Fidèles,"Clients fidèles avec bon potentiel","Upselling et cross-selling","Très insatisfait",4,"Prix élevé",Nouvel_An,,1371
CLT04317,"Hassan Nciri",M,50,45-55,Ariana,"Grand Tunis",2021-06-26,1447,4,Fidèle,TRX00000039,2025-06-12,2025,Juin,6,Q2,2025-06,Jeudi,Non,Non,Livres,Professionnel,"Professionnel 63",22479,3,25%,5619.75,16859.25,2528.888,4214.813,"Carte Bancaire",Téléphone,203,14,266700,3,3,5,335,Fidèles,"Clients fidèles avec bon potentiel","Upselling et cross-selling","Très insatisfait",8,"Produit conforme",Fête_des_mères,,1686
CLT02142,"Moez Kchaou",M,69,65+,Jendouba,Nord,2022-12-03,1116,3.1,Occasionnel,TRX00000040,2025-12-23,2025,Décembre,12,Q4,2025-12,Mardi,Non,Non,Sport,Football,"Football 93",7227.33,5,0%,0,7227.33,1084.1,1806.833,"Carte Bancaire","Magasin physique",9,2,11946,5,1,2,512,Nouveaux,"Clients récents avec faible fréquence","Programme onboarding - Offre bienvenue","Très satisfait",5,"Livraison rapide",Soldes_été,,723
CLT02068,"Chokri Chaabane",M,44,35-45,"Sidi Bouzid",Centre,2020-07-30,781,2.1,Régulier,TRX00000041,2022-09-19,2022,Septembre,9,Q3,2022-09,Lundi,Non,Non,Livres,Religion,"Religion 96",8013.28,5,0%,0,8013.28,1201.992,2003.32,D17,Téléphone,1200,9,81954,1,2,5,125,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive",Neutre,3,"Attente longue",Black_Friday,,801
CLT02845,"Fathi Zouari",M,59,55-65,Zaghouan,Nord,2020-06-09,1982,5.4,Fidèle,TRX00000042,2025-11-12,2025,Novembre,11,Q4,2025-11,Mercredi,Non,Non,Sport,Natation,"Natation 17",13223.6,1,0%,0,13223.6,1983.54,3305.9,Flouci,"Site web",50,13,132236,5,3,5,535,Fidèles,"Clients fidèles avec bon potentiel","Upselling et cross-selling",Satisfait,6,"Produit conforme",Ramadan,PROMO33,1322
CLT01394,"Nour Guesmi",F,49,45-55,Béja,Nord,2020-10-10,689,1.9,VIP,TRX00000043,2022-08-30,2022,Août,8,Q3,2022-08,Mardi,Non,Non,Vêtements,Accessoires,"Accessoires 90",40526.2,4,5%,2026.31,38499.89,5774.984,9624.973,D17,"Site web",1220,15,552630,1,4,5,145,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale","Très insatisfait",2,"Excellent service",Back_to_school,,3850
CLT01204,"Rami Kchaou",M,34,25-35,"Ben Arous","Grand Tunis",2022-10-18,233,0.6,Régulier,TRX00000044,2023-06-08,2023,Juin,6,Q2,2023-06,Jeudi,Non,Non,Électronique,Tablette,"Tablette 1",13911.88,1,0%,0,13911.88,2086.782,3477.97,D17,"Réseaux sociaux",938,5,59965,1,2,5,125,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive",Insatisfait,1,"Livraison rapide",Back_to_school,,1391
CLT00760,"Sawsen Feki",F,27,25-35,Nabeul,Nord,2023-10-10,569,1.6,VIP,TRX00000045,2025-05-01,2025,Mai,5,Q2,2025-05,Jeudi,Non,Non,Jouets,Puzzle,"Puzzle 83",50513.63,1,0%,0,50513.63,7577.045,12628.408,"Paiement à la livraison",Téléphone,245,50,2360450,3,5,5,355,Fidèles,"Clients fidèles avec bon potentiel","Upselling et cross-selling","Très satisfait",3,"Livraison rapide",Ramadan,,5051
CLT00191,"Anis Mansouri",M,61,55-65,"Le Kef",Nord,2020-05-23,1723,4.7,Occasionnel,TRX00000046,2025-02-09,2025,Février,2,Q1,2025-02,Dimanche,Oui,Non,Maison,Cuisine,"Cuisine 68",1427.22,4,0%,0,1427.22,214.083,356.805,"Paiement à la livraison","Réseaux sociaux",326,3,5286,2,1,2,212,Fuyants,"Clients peu engagés","Analyse besoins ou abandon",Insatisfait,10,"Excellent service",Back_to_school,PROMO80,143
CLT04340,"Aymen Karray",M,38,35-45,"Ben Arous","Grand Tunis",2023-05-30,271,0.7,Occasionnel,TRX00000047,2024-02-25,2024,Février,2,Q1,2024-02,Dimanche,Oui,Non,Sport,Football,"Football 91",1769.79,4,20%,353.958,1415.832,212.375,353.958,D17,"Application mobile",676,1,1903,1,1,1,111,Fuyants,"Clients peu engagés","Analyse besoins ou abandon",Satisfait,8,,Black_Friday,,142
CLT03895,"Zied Nciri",M,19,18-25,Siliana,Nord,2020-09-02,828,2.3,Occasionnel,TRX00000048,2022-12-09,2022,Décembre,12,Q4,2022-12,Vendredi,Non,Non,Vêtements,Enfant,"Enfant 17",2104.56,5,0%,0,2104.56,315.684,526.14,D17,"Réseaux sociaux",1119,1,2844,1,1,1,111,Fuyants,"Clients peu engagés","Analyse besoins ou abandon",Neutre,1,,Soldes_été,,210
CLT00176,"Dorra Ben Amor",F,26,25-35,Kebili,Sud,2021-12-18,547,1.5,Occasionnel,TRX00000049,2023-06-18,2023,Juin,6,Q2,2023-06,Dimanche,Oui,Non,Beauté,Cheveux,"Cheveux 60",1570,1,0%,0,1570,235.5,392.5,Espèces,"Réseaux sociaux",928,2,2512,1,1,1,111,Fuyants,"Clients peu engagés","Analyse besoins ou abandon",Neutre,10,"Attente longue",Ramadan,PROMO38,157
CLT02356,"Yosra Ben Ali",F,44,35-45,Kairouan,Centre,2022-06-22,485,1.3,Fidèle,TRX00000050,2023-10-20,2023,Octobre,10,Q4,2023-10,Vendredi,Non,Non,Maison,Meubles,"Meubles 71",15510.84,5,13%,2016.409,13494.431,2024.165,3373.608,D17,"Site web",804,17,231302,1,4,5,145,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale","Très insatisfait",7,,Fête_des_mères,,1349
CLT04041,"Nader Masmoudi",M,31,25-35,Nabeul,Nord,2020-08-15,823,2.3,Occasionnel,TRX00000051,2022-11-16,2022,Novembre,11,Q4,2022-11,Mercredi,Non,Non,Beauté,Parfum,"Parfum 59",2207.52,5,0%,0,2207.52,331.128,551.88,"Paiement à la livraison",Téléphone,1142,2,6048,1,1,2,112,Fuyants,"Clients peu engagés","Analyse besoins ou abandon","Très satisfait",4,"Produit conforme",,,221
CLT03278,"Asma Ben Ali",F,45,45-55,Tunis,"Grand Tunis",2022-08-02,103,0.3,Régulier,TRX00000052,2022-11-13,2022,Novembre,11,Q4,2022-11,Dimanche,Oui,Non,Vêtements,Sport,"Sport 54",6569.6,2,0%,0,6569.6,985.44,1642.4,Virement,"Site web",1145,4,32848,1,1,4,114,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive","Très satisfait",2,"Excellent service",Fête_des_mères,,657
CLT01566,"Mariem Amari",F,59,55-65,Sfax,Centre,2021-04-06,1191,3.3,Régulier,TRX00000053,2024-07-10,2024,Juillet,7,Q3,2024-07,Mercredi,Non,Non,Sport,Natation,"Natation 71",5960.8,3,0%,0,5960.8,894.12,1490.2,Flouci,"Réseaux sociaux",540,4,29804,1,1,3,113,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive",Insatisfait,1,"Produit conforme",Soldes_été,,596
CLT01766,"Leila Feki",F,39,35-45,Kairouan,Centre,2021-02-28,812,2.2,Occasionnel,TRX00000054,2023-05-21,2023,Mai,5,Q2,2023-05,Dimanche,Oui,Non,Électronique,Casque,"Casque 82",3665.48,3,0%,0,3665.48,549.822,916.37,Virement,"Réseaux sociaux",956,1,4028,1,1,1,111,Fuyants,"Clients peu engagés","Analyse besoins ou abandon",Insatisfait,1,,Black_Friday,,367
CLT01186,"Anis Sassi",M,68,65+,"Sidi Bouzid",Centre,2020-12-10,480,1.3,VIP,TRX00000055,2022-04-04,2022,Avril,4,Q2,2022-04,Lundi,Non,Non,Beauté,Maquillage,"Maquillage 72",20910.12,5,0%,0,20910.12,3136.518,5227.53,"Paiement à la livraison","Application mobile",1368,22,494648,1,5,5,155,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale",Neutre,8,"Produit conforme",Nouvel_An,,2091
CLT04824,"Nader Sassi",M,50,45-55,Tunis,"Grand Tunis",2023-01-28,789,2.2,Occasionnel,TRX00000056,2025-03-27,2025,Mars,3,Q1,2025-03,Jeudi,Non,Non,Alimentation,Viande,"Viande 71",1527.57,1,0%,0,1527.57,229.136,381.893,Virement,"Magasin physique",280,3,4629,2,1,1,211,Fuyants,"Clients peu engagés","Analyse besoins ou abandon",Satisfait,8,"Attente longue",Ramadan,,153
CLT02608,"Iheb Dhraief",M,46,45-55,Zaghouan,Nord,2020-03-19,1753,4.8,Régulier,TRX00000057,2025-01-05,2025,Janvier,1,Q1,2025-01,Dimanche,Oui,Non,Livres,Professionnel,"Professionnel 38",4954.46,3,0%,0,4954.46,743.169,1238.615,"Carte Bancaire","Site web",361,7,40327,1,2,4,124,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive",Neutre,2,,Ramadan,,495
CLT00400,"Henda Ben Salem",F,27,25-35,Manouba,"Grand Tunis",2020-01-17,1254,3.4,Occasionnel,TRX00000058,2023-06-24,2023,Juin,6,Q2,2023-06,Samedi,Oui,Non,Beauté,Soin,"Soin 81",3600.08,1,0%,0,3600.08,540.012,900.02,"Carte Bancaire","Application mobile",922,4,16364,1,1,3,113,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive",Satisfait,0,,Nouvel_An,,360
